location,total_population,new_immigrants,established_immigrants,non_immigrants
Canada,36328475,1328240,7033265,27042120
Ontario,14031755,584680,3621905,9437320
Quebec,8308480,202740,1007860,6892110
British Columbia,4915940,197420,1228285,3319230
Alberta,4177715,193170,777800,3141915
Manitoba,1307185,58370,199240,1015285
Saskatchewan,1103200,43120,94505,949755
Nova Scotia,955860,21385,50180,861945
New Brunswick,759195,16040,28085,704220
Prince Edward Island,150480,4860,6905,133285
Newfoundland and Labrador,502100,4270,9985,482615
Yukon,39585,1125,4255,33280
Northwest Territories,40380,810,3325,35825
Nunavut,36600,240,925,35360